Time,Server,Offset,Delay
2025-04-15T16:13:36Z,192.168.251.14,-0.12716007232666016,-0.0001201629638671875
2025-04-15T16:15:04Z,192.168.251.14,-0.13332581520080566,-0.00015115737915039062
2025-04-15T16:20:28Z,192.168.251.14,-0.13049077987670898,-0.0001468658447265625
2025-04-16T09:58:25Z,192.168.251.14,-0.13976693153381348,-0.00011110305786132812
