Time,Server,Offset,Delay,Offset_Diff_From_Avg,Sign
2025-04-16T12:01:08Z,157.20.66.8,-0.13825750350952148,0.053348541259765625,0.0032307465871175,+
2025-04-16T12:01:08Z,ntp.doca.gov.in,-0.13962244987487793,0.027341365814208984,0.0018658002217610548,+
2025-04-16T12:01:26Z,samay1.nic.in,0,0,0,
2025-04-16T12:01:08Z,samay2.nic.in,-0.13925480842590332,0.02852773666381836,0.002233441670735664,+
2025-04-16T12:01:08Z,192.168.251.12,-0.14297795295715332,0.0007567405700683594,-0.0014897028605143359,-
2025-04-16T12:01:08Z,192.168.251.14,-0.14208245277404785,0.0007872581481933594,-0.0005942026774088671,-
2025-04-16T12:01:08Z,192.168.251.15,-0.14243745803833008,-9.059906005859375e-05,-0.0009492079416910937,-
2025-04-16T12:01:08Z,192.168.251.18,-0.14236044883728027,-0.00013875961303710938,-0.000872198740641289,-
2025-04-16T12:01:08Z,192.168.251.21,-0.1411595344543457,-0.0001506805419921875,0.0003287156422932813,+
2025-04-16T12:01:08Z,192.168.251.22,-0.14020705223083496,-0.0002799034118652344,0.0012811978658040235,+
2025-04-16T12:01:08Z,192.168.251.24,-0.14254140853881836,-0.00012874603271484375,-0.001053158442179375,-
2025-04-16T12:01:08Z,192.168.251.30,-0.14266371726989746,0.0005707740783691406,-0.0011754671732584765,-
2025-04-16T12:01:08Z,192.168.251.32,-0.14250850677490234,-0.000240325927734375,-0.0010202566782633593,-
2025-04-16T12:01:08Z,192.168.251.33,-0.1429300308227539,0.0006084442138671875,-0.0014417807261149218,-
2025-04-16T12:01:08Z,192.168.251.38,-0.14235758781433105,-0.0004029273986816406,-0.0008693377176920702,-
2025-04-16T12:01:08Z,192.168.251.39,-0.14096283912658691,-0.0002608299255371094,0.0005254109700520704,+
2025-04-16T12:01:26Z,Average,-0.14148825009663898,0,0,N/A
2025-04-16T12:10:09Z,192.168.251.15,-0.1403200626373291,-0.00013017654418945312
2025-04-16T12:10:09Z,192.168.251.24,-0.14080357551574707,0.0013222694396972656
2025-04-16T12:10:09Z,192.168.251.18,-0.14088916778564453,0.001415252685546875
2025-04-16T12:10:09Z,192.168.251.21,-0.1402897834777832,-0.00017070770263671875
2025-04-16T12:10:09Z,192.168.251.38,-0.1401660442352295,0.0014986991882324219
2025-04-16T12:10:09Z,192.168.251.39,-0.13994073867797852,0.001399993896484375
2025-04-16T12:10:09Z,192.168.251.33,-0.14035820960998535,-0.0002636909484863281
2025-04-16T12:10:09Z,192.168.251.22,-0.14098739624023438,0.0014095306396484375
2025-04-16T12:10:09Z,192.168.251.32,-0.14048051834106445,0.0014591217041015625
2025-04-16T12:10:09Z,192.168.251.12,-0.14038467407226562,-0.00018310546875
2025-04-16T12:10:09Z,192.168.251.14,-0.14033937454223633,-0.000152587890625
2025-04-16T12:10:09Z,192.168.251.30,-0.1406996250152588,0.0012526512145996094
2025-04-16T12:10:09Z,ntp.doca.gov.in,-0.142106294631958,0.023876667022705078
2025-04-16T12:10:09Z,samay2.nic.in,-0.1378161907196045,0.025157451629638672
2025-04-16T12:10:09Z,157.20.66.8,-0.1401824951171875,0.048432350158691406
2025-04-16T12:10:27Z,samay1.nic.in,0,0
2025-04-16T12:28:35Z,157.20.66.8,-0.14040184020996094,0.04919719696044922,-0.0005685965220133538,-
2025-04-16T12:28:35Z,ntp.doca.gov.in,-0.13751649856567383,0.022749900817871094,0.0023167451222737556,+
2025-04-16T12:28:52Z,samay1.nic.in,0,0,0,
2025-04-16T12:28:35Z,samay2.nic.in,-0.13665986061096191,0.03051614761352539,0.0031733830769856697,+
2025-04-16T12:28:35Z,192.168.251.12,-0.13996458053588867,0.0008392333984375,-0.00013133684794108813,-
2025-04-16T12:28:35Z,192.168.251.14,-0.1401505470275879,-0.000133514404296875,-0.0003173033396403069,-
2025-04-16T12:28:35Z,192.168.251.15,-0.14041566848754883,0.0009069442749023438,-0.0005824247996012444,-
2025-04-16T12:28:35Z,192.168.251.18,-0.1400744915008545,0.0008988380432128906,-0.00024124781290690844,-
2025-04-16T12:28:35Z,192.168.251.21,-0.13997888565063477,0.0008649826049804688,-0.00014564196268718188,-
2025-04-16T12:28:35Z,192.168.251.22,-0.14036774635314941,0.0007910728454589844,-0.0005345026652018303,-
2025-04-16T12:28:35Z,192.168.251.24,-0.14022135734558105,0.0006623268127441406,-0.00038811365763347094,-
2025-04-16T12:28:35Z,192.168.251.30,-0.1405167579650879,0.0009946823120117188,-0.0006835142771403069,-
2025-04-16T12:28:35Z,192.168.251.32,-0.14039134979248047,0.000614166259765625,-0.000558106104532885,-
2025-04-16T12:28:35Z,192.168.251.33,-0.1404101848602295,0.0008187294006347656,-0.0005769411722819084,-
2025-04-16T12:28:35Z,192.168.251.38,-0.14035749435424805,0.0008544921875,-0.0005242506663004631,-
2025-04-16T12:28:35Z,192.168.251.39,-0.14007139205932617,-0.000156402587890625,-0.00023814837137858813,-
2025-04-16T12:28:52Z,Average,-0.13983324368794758,0,0,N/A
2025-04-16T12:30:05Z,157.20.66.8,-0.13444137573242188,0.05929279327392578,0.0038581053415934208,+
2025-04-16T12:30:05Z,ntp.doca.gov.in,-0.13319730758666992,0.030159950256347656,0.005102173487345374,+
2025-04-16T12:30:22Z,samay1.nic.in,0,0,0,
2025-04-16T12:30:05Z,samay2.nic.in,-0.12792658805847168,0.038996219635009766,0.010372893015543616,+
2025-04-16T12:30:05Z,192.168.251.12,-0.1396017074584961,-0.00036716461181640625,-0.001302226384480798,-
